date,Custom Index
2017-01-09,71.64372
2017-01-10,71.59199
2017-01-11,71.91472
2017-01-12,71.61842
2017-01-13,71.79375
2017-01-17,71.667404
2017-01-18,71.82131
2017-01-19,71.43899
2017-01-20,71.69988
2017-01-23,71.557556
2017-01-24,72.18321
2017-01-25,72.78777
2017-01-26,72.51297
2017-01-27,72.44213
2017-01-30,72.045654
2017-01-31,71.83732
2017-02-01,71.48363
2017-02-02,71.59522
2017-02-03,72.17848
2017-02-06,71.94893
2017-02-07,71.888176
2017-02-08,72.035255
2017-02-09,72.56881
2017-02-10,72.78736
2017-02-13,73.06059
2017-02-14,73.30343
2017-02-15,73.622536
2017-02-16,73.48364
2017-02-17,73.69318
2017-02-21,74.0738
2017-02-22,73.77443
2017-02-23,73.7078
2017-02-24,74.07361
2017-02-27,74.20068
2017-02-28,73.90797
2017-03-01,74.72546
2017-03-02,74.18814
2017-03-03,74.09864
2017-03-06,73.78356
2017-03-07,73.50945
2017-03-08,73.335236
2017-03-09,73.17391
2017-03-10,73.52716
2017-03-13,73.66487
2017-03-14,73.36064
2017-03-15,74.10687
2017-03-16,73.961876
2017-03-17,74.01385
2017-03-20,73.70356
2017-03-21,72.72969
2017-03-22,73.03979
2017-03-23,73.07478
2017-03-24,73.06862
2017-03-27,73.08449
2017-03-28,73.57304
2017-03-29,73.865
2017-03-30,74.01538
2017-03-31,73.97823
2017-04-03,73.71159
2017-04-04,73.59376
2017-04-05,73.38254
2017-04-06,73.691605
2017-04-07,73.7593
2017-04-10,73.83872
2017-04-11,73.928345
2017-04-12,73.526085
2017-04-13,73.09129
2017-04-17,73.74195
2017-04-18,73.63916
2017-04-19,73.70771
2017-04-20,74.22652
2017-04-21,74.15984
2017-04-24,74.84269
2017-04-25,75.19387
2017-04-26,75.37672
2017-04-27,75.357185
2017-04-28,75.01348
2017-05-01,74.98619
2017-05-02,75.21022
2017-05-03,74.953186
2017-05-04,75.02538
2017-05-05,75.4124
2017-05-08,75.365875
2017-05-09,75.3109
2017-05-10,75.52777
2017-05-11,75.19885
2017-05-12,74.894165
2017-05-15,75.21418
2017-05-16,74.85573
2017-05-17,73.7092
2017-05-18,74.02746
2017-05-19,74.46116
2017-05-22,74.87252
